c2_2_10

VEHICLE
NUMBER     CAPACITY
  50          700

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   RELEASE DATE

    0      70         70          0          0       3598          0          0
    1      38        105         20       2448       3328         90       1538
    2     100          5         20        308       1188         90          0
    3     111         78         10        661       1541         90          0
    4      96         62         10       2457       3337         90       1538
    5     122         11         30       1562       2442         90        841
    6      94         18         30         57        937         90          0
    7      60         89         10       2237       3117         90       1433
    8      67        123         20        546       1426         90          0
    9      99         53         20       1457       2337         90        841
   10      26         24         20         63        943         90          0
   11      93         61         10       2550       3430         90       1631
   12      27         32         20        849       1729         90          0
   13      25         31         20        757       1637         90          0
   14      98         36         10       2584       3464         90       1665
   15     101         68         10        557       1437         90          0
   16      49         48         10       1043       1923         90        841
   17      56         95         10       2140       3020         90       1243
   18      14        107         20        475       1355         90          0
   19      98         46         20       1554       2434         90        841
   20     131          4         40       1277       2157         90        841
   21      94         89         20       2435       3315         90       1538
   22      70        113         30        941       1821         90        841
   23      94         59         30       2602       3482         90       1687
   24      64         59         10       1560       2440         90        841
   25     112          3         10        985       1865         90        841
   26      20        108         10        379       1259         90          0
   27      10        118         20       1156       2036         90        841
   28      76         65         40          7        887         90          0
   29     103         12         20        211       1091         90          0
   30      44         62         30        757       1637         90          0
   31      96        138         10       1628       2508         90        841
   32      27         44         20       1046       1926         90        841
   33      21         28         40        662       1542         90          0
   34      26         91         10       2580       3460         90       1665
   35      98         75         10        363       1243         90          0
   36      69         48         20       2606       3486         90       1687
   37      19        116         10       1656       2536         90        841
   38      60        111         10         66        946         90          0
   39      54        102         20         35        915         90          0
   40      63        103         20         33        913         90          0
   41      91         91         10         64        944         90          0
   42      77         15         10         55        935         90          0
   43      77        117         30       1222       2102         90        841
   44     115         41         20       2328       3208         90       1433
   45      12         33         10        471       1351         90          0
   46      44         82         20        442       1322         90          0
   47     117         55         20        974       1854         90        841
   48     116         10         20        796       1676         90          0
