c2_2_5

VEHICLE
NUMBER     CAPACITY
  50          700

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   RELEASE DATE

    0      70         70          0          0       3598          0          0
    1      38        105         20       2728       3048         90       1258
    2     100          5         20        588        908         90          0
    3     111         78         10        941       1261         90          0
    4      96         62         10       2737       3057         90       1258
    5     122         11         30       1842       2162         90        843
    6      94         18         30        193        513         90          0
    7      60         89         10       2517       2837         90       1258
    8      67        123         20        826       1146         90          0
    9      99         53         20       1737       2057         90        843
   10      26         24         20         93        413         90          0
   11      93         61         10       2830       3150         90       1449
   12      27         32         20       1129       1449         90          0
   13      25         31         20       1037       1357         90          0
   14      98         36         10       3002       3322         90       1604
   15     101         68         10        837       1157         90          0
   16      49         48         10       1323       1643         90          0
   17      56         95         10       2420       2740         90       1258
   18      14        107         20        755       1075         90          0
   19      98         46         20       1834       2154         90        843
   20     131          4         40       1557       1877         90        843
   21      94         89         20       2715       3035         90       1258
   22      70        113         30       1221       1541         90          0
   23      94         59         30       2922       3242         90       1449
   24      64         59         10       1840       2160         90        843
   25     112          3         10       1265       1585         90          0
   26      20        108         10        659        979         90          0
   27      10        118         20       1436       1756         90          0
   28      76         65         40          7        327         90          0
   29     103         12         20        491        811         90          0
   30      44         62         30       1037       1357         90          0
   31      96        138         10       1908       2228         90        843
   32      27         44         20       1326       1646         90          0
   33      21         28         40        942       1262         90          0
   34      26         91         10       3021       3341         90       1604
   35      98         75         10        643        963         90          0
   36      69         48         20       3040       3360         90       1604
   37      19        116         10       1936       2256         90        843
   38      60        111         10        346        666         90          0
   39      54        102         20        153        473         90          0
   40      63        103         20         54        374         90          0
   41      91         91         10        344        664         90          0
   42      77         15         10         55        375         90          0
   43      77        117         30       1502       1822         90        843
   44     115         41         20       2608       2928         90       1258
   45      12         33         10        751       1071         90          0
   46      44         82         20        722       1042         90          0
   47     117         55         20       1254       1574         90          0
   48     116         10         20       1076       1396         90          0
