rc2_2_1

VEHICLE
NUMBER     CAPACITY
  50         1000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   RELEASE DATE

    0      70         70          0          0       2535          0          0
    1      10         86         14       1642       1762         10        856
    2      16         62         15       1584       1704         10        856
    3      84         36         10        407        527         10          0
    4      79         72         22          9        129         10          0
    5      16         39         20        324        444         10          0
    6      61         54         10        161        281         10          0
    7      96         26         10        229        349         10          0
    8      16         92         10       1435       1555         10        856
    9      85        106         20        180        300         10          0
   10       6         25         10        521        641         10          0
   11      37        125         10       1374       1494         10        856
   12      87        108         20        231        351         10          0
   13      18        104         18       1347       1467         10        856
   14      61         48         20        270        390         10          0
   15      97         29         30        136        256         10          0
   16     112         67         10        330        450         10          0
   17      50        106         25       1281       1401         10        856
   18      99         28         30        329        449         10          0
   19      15          9          2       1641       1761         10        856
   20      19         37         20        505        625         10          0
   21      90        101         10        621        741         10          0
   22     125         68         20        768        888         10          0
   23     127        108         10        539        659         10          0
   24      90         44          6        209        329         10          0
   25       4         23         10        470        590         10          0
   26      17         37         30        413        533         10          0
   27     113         32         36        576        696         10          0
   28      63         57         10         59        179         10          0
   29      94        104         10        513        633         10          0
   30      58         95         35       1940       2060         10        856
   31     137         96          9        227        347         10          0
   32     127        112         20        483        603         10          0
   33     103        119         18       1336       1456         10        856
   34      20         69         13       1512       1632         10        856
   35       2         28         10        316        436         10          0
   36      88         29         33       2255       2375         10       1107
   37      86        102         10        123        243         10          0
   38     126        112         10        439        559         10          0
   39      61         34          7       1890       2010         10        856
   40     113         69         20        281        401         10          0
   41     109         78         21        951       1071         10          0
   42      21         48         10        155        275         10          0
   43      86         36         20        314        434         10          0
   44      97         12         10        825        945         10          0
   45     121        112         20        296        416         10          0
   46      19         39         10        553        673         10          0
   47      66         40         20         61        181         10          0
   48      87         39         20         81        201         10          0
   49      63         50         10        219        339         10          0
   50     121        123          9       1028       1148         10          0
   51     116         22         32        551        671         10          0
   52     137        101         12        677        797         10          0
   53     137        137         27        399        519         10          0
   54      70         94         32         36        156         10          0
   55     117         92         25       1132       1252         10          0
   56     122        113         20        341        461         10          0
   57     109         71         20        137        257         10          0
   58      35        102         10        689        809         10          0
   59      91        108         10        287        407         10          0
   60       8         87         17       1605       1725         10        856
   61     140         42         13        402        522         10          0
   62      16         38         20        368        488         10          0
   63      44         36          9        191        311         10          0
   64      60         84         23       1926       2046         10        856
   65     109        139          8        452        572         10          0
   66      80        103         15       1488       1608         10        856
   67      66         82         27       2004       2124         10        856
   68      99         26         40        281        401         10          0
   69      34        108         10        485        605         10          0
   70     135         65          3       1355       1475         10        856
   71      36        124         34        935       1055         10          0
   72     102         60         30        540        660         10          0
   73      30         21         12       1290       1410         10        856
   74     139        110         19        766        886         10          0
   75      10        111         21       1971       2091         10        856
   76      18         70         26       1564       1684         10        856
   77       4         28         10        576        696         10          0
   78      57         53         10        377        497         10          0
   79      54         41          9       1125       1245         10          0
   80     107         25         13       1095       1215         10          0
   81     110         99         21       1211       1331         10        856
   82      84         88         16       1425       1545         10        856
   83     101          0          9       1992       2112         10        856
   84      28         99         10        144        264         10          0
   85     119        114         20        244        364         10          0
   86     118        108         10        699        819         10          0
   87      50        112         18        927       1047         10          0
   88      44        116         27        212        332         10          0
   89      82        100         18        417        537         10          0
   90      83         12         29        921       1041         10          0
   91     126         23         13       1054       1174         10          0
   92      85         75         37         44        164         10          0
   93      39         13         20       1503       1623         10        856
   94     120        136         10        458        578         10          0
   95     105          2          1        895       1015         10          0
   96      36         54         15       1488       1608         10        856
   97      35         90         20       1783       1903         10        856
   98     111         66         20        376        496         10          0
   99     119        136         30        414        534         10          0
  100      84         99         20         69        189         10          0
  101     137        127         28        782        902         10          0
  102      95         35         10        197        317         10          0
  103      69          6          8        332        452         10          0
  104       1         24         10        417        537         10          0
  105      31        112         20        425        545         10          0
  106     138         78         43        809        929         10          0
  107     100         99         17       1196       1316         10        856
  108     123        112         20        387        507         10          0
  109     119        130         20        612        732         10          0
  110      92         22         18        760        880         10          0
  111     137          7         40        623        743         10          0
  112     121        124         21        599        719         10          0
