rc2_2_5

VEHICLE
NUMBER     CAPACITY
  50         1000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   RELEASE DATE

    0      70         70          0          0       2535          0          0
    1      10         86         14       1592       1812         10        888
    2      16         62         15       1576       1713         10        888
    3      84         36         10        123        812         10          0
    4      79         72         22         21         53         10          0
    5      16         39         20        350        418         10          0
    6      61         54         10         18        440         10          0
    7      96         26         10         51        616         10          0
    8      16         92         10       1366       1624         10        888
    9      85        106         20        145        334         10          0
   10       6         25         10        460        702         10          0
   11      37        125         10       1164       1703         10        888
   12      87        108         20        213        369         10          0
   13      18        104         18       1377       1437         10        888
   14      61         48         20        292        369         10          0
   15      97         29         30         49        400         10          0
   16     112         67         10        174        606         10          0
   17      50        106         25       1163       1520         10        888
   18      99         28         30        368        411         10          0
   19      15          9          2       1482       1920         10        888
   20      19         37         20        360        769         10          0
   21      90        101         10        417        946         10          0
   22     125         68         20        582       1073         10          0
   23     127        108         10        375        823         10          0
   24      90         44          6        141        398         10          0
   25       4         23         10        476        584         10          0
   26      17         37         30        354        593         10          0
   27     113         32         36        502        771         10          0
   28      63         57         10         14        451         10          0
   29      94        104         10        438        708         10          0
   30      58         95         35       1825       2175         10       1213
   31     137         96          9        142        433         10          0
   32     127        112         20        488        599         10          0
   33     103        119         18       1280       1513         10        888
   34      20         69         13       1475       1669         10        888
   35       2         28         10        156        596         10          0
   36      88         29         33       2031       2481         10       1213
   37      86        102         10         35        420         10          0
   38     126        112         10        428        571         10          0
   39      61         34          7       1869       2032         10        888
   40     113         69         20        177        505         10          0
   41     109         78         21        879       1143         10          0
   42      21         48         10         53        506         10          0
   43      86         36         20        152        596         10          0
   44      97         12         10        786        984         10          0
   45     121        112         20        173        539         10          0
   46      19         39         10        452        773         10          0
   47      66         40         20         30        536         10          0
   48      87         39         20         35        460         10          0
   49      63         50         10        143        415         10          0
   50     121        123          9       1017       1159         10          0
   51     116         22         32        468        754         10          0
   52     137        101         12        618        857         10          0
   53     137        137         27        326        592         10          0
   54      70         94         32         24        182         10          0
   55     117         92         25        998       1385         10        888
   56     122        113         20        293        510         10          0
   57     109         71         20         39        397         10          0
   58      35        102         10        637        861         10          0
   59      91        108         10        273        421         10          0
   60       8         87         17       1658       1671         10        888
   61     140         42         13        351        574         10          0
   62      16         38         20        156        699         10          0
   63      44         36          9        134        367         10          0
   64      60         84         23       1925       2048         10        888
   65     109        139          8        492        531         10          0
   66      80        103         15       1341       1755         10        888
   67      66         82         27       2029       2099         10        888
   68      99         26         40        217        466         10          0
   69      34        108         10        538        553         10          0
   70     135         65          3       1297       1532         10        888
   71      36        124         34        859       1132         10          0
   72     102         60         30        384        817         10          0
   73      30         21         12       1212       1488         10        888
   74     139        110         19        723        928         10          0
   75      10        111         21       1907       2156         10        888
   76      18         70         26       1485       1763         10        888
   77       4         28         10        475        797         10          0
   78      57         53         10        254        620         10          0
   79      54         41          9       1006       1363         10        888
   80     107         25         13       1079       1231         10          0
   81     110         99         21       1162       1380         10        888
   82      84         88         16       1404       1566         10        888
   83     101          0          9       1884       2219         10       1213
   84      28         99         10        159        249         10          0
   85     119        114         20         81        527         10          0
   86     118        108         10        431       1088         10          0
   87      50        112         18        842       1132         10          0
   88      44        116         27         53        491         10          0
   89      82        100         18        381        573         10          0
   90      83         12         29        831       1130         10          0
   91     126         23         13       1060       1168         10          0
   92      85         75         37         15        249         10          0
   93      39         13         20       1491       1636         10        888
   94     120        136         10        247        789         10          0
   95     105          2          1        848       1062         10          0
   96      36         54         15       1469       1626         10        888
   97      35         90         20       1588       2099         10        888
   98     111         66         20        271        601         10          0
   99     119        136         30        411        538         10          0
  100      84         99         20         35        222         10          0
  101     137        127         28        715        969         10          0
  102      95         35         10        167        348         10          0
  103      69          6          8         88        695         10          0
  104       1         24         10        417        537         10          0
  105      31        112         20        398        573         10          0
  106     138         78         43        787        952         10          0
  107     100         99         17       1199       1313         10        888
  108     123        112         20        347        548         10          0
  109     119        130         20        600        744         10          0
  110      92         22         18        645        995         10          0
  111     137          7         40        652        714         10          0
  112     121        124         21        522        797         10          0
