r2_2_10

VEHICLE
NUMBER     CAPACITY
  50         1000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   RELEASE DATE

    0      70         70          0          0       2535          0          0
    1     101          0          9       1788       2316         10       1224
    2      26         50          7       1382       1838         10        918
    3      30         57         20        799       1164         10          0
    4      29         60         14         42        497         10          0
    5      69        116         26       1211       1664         10        918
    6     137        137         27        269        648         10          0
    7     103        119         18       1156       1637         10        918
    8      78        111         22         41        629         10          0
    9     107         25         13        928       1381         10        918
   10      17        138          8       1561       2020         10        918
   11      37        138          5        594       1204         10          0
   12      20         69         13       1394       1750         10        918
   13     121        123          9        850       1326         10        918
   14      22        104         11        736       1234         10          0
   15     137          7         40        483        883         10          0
   16      50        106         25       1092       1591         10        918
   17      46        112         10       1009       1399         10        918
   18      79         72         22          9        494         10          0
   19     104         32         18        343        854         10          0
   20       8         87         17       1433       1897         10        918
   21     109        139          8        299        725         10          0
   22      80        103         15       1310       1786         10        918
   23      78         63         19         10        416         10          0
   24      95        135         27       1459       1865         10        918
   25      37         79          5       1527       2021         10        918
   26      64        132          8         62        589         10          0
   27     133        130         13        689       1209         10          0
   28      39         13         20       1375       1752         10        918
   29     120         14         20        857       1332         10        918
   30      10         86         14       1421       1984         10        918
   31     140         42         13        219        705         10          0
   32     121        124         21        353        966         10          0
   33      42         29         12         51        550         10          0
   34      44         58         30         28        387         10          0
   35      32          6         11        221        659         10          0
   36      41         36         13         44        575         10          0
   37     106         10         13        954       1556         10        918
   38     107        102         12        670       1203         10          0
   39      83         38         22       1768       2163         10        918
   40     132        133         24        346        892         10          0
   41      81         57          8         17        473         10          0
   42     120         52         20       1413       1701         10        918
   43     113         32         36        376        896         10          0
   44     137        101         12        515        960         10          0
   45      82        103         15         35        475         10          0
   46      10        111         21       1790       2272         10       1224
   47      90         44          6         32        536         10          0
   48     139         73         10        150        666         10          0
   49      89         24         15       1033       1496         10        918
   50      64        138         15       1616       2023         10        918
   51      98          4         20        540       1001         10          0
   52      61         34          7       1717       2183         10        918
   53      60         84         23       1744       2228         10       1224
   54      13         48         15       1432       2051         10        918
   55      84         88         16       1281       1688         10        918
   56      86         40         22         34        407         10          0
   57      69        115         20        665       1177         10          0
   58      59        115         26       1078       1552         10        918
   59     105          2          1        698       1212         10          0
   60     107         77         34         37        542         10          0
   61     104         54         13         37        567         10          0
   62      54         33         20         40        633         10          0
   63      32         52         32        443        885         10          0
   64      37        125         10       1195       1673         10        918
   65      99         34          9        134        593         10          0
   66      38        122         13        727       1266         10          0
   67      85         75         37         15        378         10          0
   68     109        131         16        761       1170         10          0
   69     103         77         17        942       1503         10        918
   70      47         83          1       1093       1568         10        918
   71     139         68         25        122        625         10          0
   72      88         29         33       2008       2481         10       1224
   73      39        100         31        155        493         10          0
   74      48         47         19         31        504         10          0
   75     104         73         17        813       1300         10        918
   76       9         19         10       1294       1809         10        918
   77     103         44         12         42        521         10          0
   78      73         96          9        489        960         10          0
   79      44        116         27         61        483         10          0
   80      71         70          9       1696       2266         10       1224
   81      83         12         29        745       1216         10          0
   82      36         54         15       1318       1777         10        918
   83      16         92         10       1267       1723         10        918
   84      56        139         18       1072       1527         10        918
   85      27        104          1       1822       2317         10       1224
   86      67         96         26       1760       2296         10       1224
   87      34         72         21       1988       2489         10       1224
   88     120         22         39        296        735         10          0
   89      54        106          9        968       1507         10        918
   90      63        129          7        646       1124         10          0
   91      33        117         20        169        702         10          0
   92     102         52         15        423        969         10          0
   93      13        129         25       1224       1706         10        918
   94      34         20         15        435        889         10          0
   95     114        109         16        132        606         10          0
   96      86         80         21       1320       1795         10        918
   97      33          0         20       1722       2257         10       1224
   98      18        104         18       1181       1632         10        918
   99      70         83         23       1777       2222         10       1224
  100      12         48          4         76        508         10          0
  101     139         72         23       1170       1646         10        918
  102     109         78         21        757       1265         10          0
  103     116         22         32        341        881         10          0
  104      27         46         35        687       1105         10          0
  105      19        120         16        861       1349         10        918
  106      23         39         20       1275       1658         10        918
  107     110         99         21        990       1552         10        918
  108      15         18         10       1428       1892         10        918
  109      18         70         26       1383       1864         10        918
